Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
STL,DTW,St. Louis-MO,Detroit-MI,158,200,2,440,199005,2584656,8503650
MSP,EWR,Minneapolis-MN,Newark-NJ,62,128,1,1008,199804,2830434,17341505
LAX,ORD,Los Angeles-CA,Chicago-IL,0,0,1,1744,199105,22754058,16550288
ORD,ALB,Chicago-IL,Albany-NY,3111,4012,34,723,199108,16550288,817567
DCA,ORD,Washington-DC,Chicago-IL,41,50,1,612,200811,10755872,19031272
ROC,DTW,Rochester-NY,Detroit-MI,516,1092,14,296,200010,1041595,8914942
DTW,ATL,Detroit-MI,Atlanta-GA,4655,11033,59,594,199111,8578382,3163883
TPA,MDW,Tampa-FL,Chicago-IL,2245,4050,27,997,199502,2175213,17155070
RDU,ORD,Raleigh-NC,Chicago-IL,6533,10320,80,647,200303,889313,18572324
OAK,RNO,Oakland-CA,Reno-NV,0,0,22,180,200512,4149607,394881
EKA,UKI,Eureka-CA,Ukiah-CA,0,0,4,126,200406,128694,87092
PDX,TOL,Portland-OR,Toledo-OH,0,0,3,1947,200709,2163577,675351
LAS,ORD,Las Vegas-NV,Chicago-IL,1138,1242,9,1515,200106,1456549,18385002
LAX,DFW,Los Angeles-CA,Dallas-TX,2424,4440,30,1235,199009,22585772,8019250
BDL,TPA,Hartford-CT,Tampa-FL,0,0,0,1111,199006,1124185,2075572
PDX,RNO,Portland-OR,Reno-NV,4735,6318,54,444,199703,1800340,309197
PBI,EWR,West Palm Beach-FL,Newark-NJ,103,104,1,1024,199608,4543436,17190036
MCO,FNT,Orlando-FL,Flint-MI,2363,2800,28,1011,200406,1866597,439880
ORD,EWR,Chicago-IL,Newark-NJ,113,124,1,719,200512,18724160,18798114
DTW,MIA,Detroit-MI,Miami-FL,2977,3384,18,1145,200612,8969084,10933486
STL,PIA,St. Louis-MO,Peoria-IL,186,240,8,137,199601,2642938,365196
SAV,EWR,Savannah-GA,Newark-NJ,2425,3150,63,708,200812,334562,18968501
MEM,LRD,Memphis-TN,Laredo-TX,0,0,1,762,199905,1169733,193180
RDU,BOS,Raleigh-NC,Boston-MA,1130,1400,28,612,200911,1125827,9177360
PHL,DTW,Philadelphia-PA,Detroit-MI,14225,21087,141,453,199408,10988706,8761684
JAN,MLU,Jackson-MS,Monroe-LA,620,4260,30,116,200101,501182,169405
CSG,ATL,Columbus-GA,Atlanta-GA,2750,5885,55,83,199211,275045,3245141
MHT,ORD,Manchester-NH,Chicago-IL,2082,3240,30,843,199005,336549,16395048
MCI,MDW,Kansas City-MO,Chicago-IL,15904,32880,240,405,200311,1912368,18572324
IAH,DFW,Houston-TX,Dallas-TX,95,142,1,224,200410,5190444,11379964
CVG,ATL,Cincinnati-OH,Atlanta-GA,193,701,4,373,200105,2035680,4432950
DSM,OMA,Des Moines-IA,Omaha-NE,46,122,1,117,199102,423477,694707
ATL,TPA,Atlanta-GA,Tampa-FL,86,107,1,406,199611,3652439,2195269
LAX,BOS,Los Angeles-CA,Boston-MA,3503,7038,51,2611,200103,25051472,8886620
ANC,ORD,Anchorage-AK,Chicago-IL,0,0,19,2846,200810,365790,19031272
LAX,EWR,Los Angeles-CA,Newark-NJ,5705,8496,59,2454,199707,23583460,17264316
PIT,DFW,Pittsburgh-PA,Dallas-TX,2367,4178,29,1068,199702,2432761,9231044
ATL,MIA,Atlanta-GA,Miami-FL,15305,21505,115,595,199108,3163883,8312530
PNS,MOB,Pensacola-FL,Mobile-AL,21,50,1,64,200105,420362,400094
ORD,CWA,Chicago-IL,Wausau-WI,1375,3520,55,213,199204,16720340,118040
MCI,TUL,Kansas City-MO,Tulsa-OK,2850,3050,25,223,200508,1958504,881652
EWR,BUF,Newark-NJ,Buffalo-NY,1140,1692,18,282,199304,17013259,1190660
RDU,MIA,Raleigh-NC,Miami-FL,7703,13050,87,700,199109,564631,8312530
SMF,DFW,Sacramento-CA,Dallas-TX,11704,12864,92,1431,200903,2127355,12895230
CVG,EWR,Cincinnati-OH,Newark-NJ,86,98,1,569,199204,1888933,16930924
LGA,DTW,New York-NY,Detroit-MI,4107,7592,52,501,199009,33737966,8503650
PVD,BGR,Providence-RI,Bangor-ME,831,4260,30,250,199611,1500950,145702
DFW,ATL,Dallas-TX,Atlanta-GA,0,0,4,732,200412,11379964,4802300
MDW,DTW,Chicago-IL,Detroit-MI,45,148,1,229,200112,18385002,8958464
TUL,ORD,Tulsa-OK,Chicago-IL,1160,2262,26,585,200109,867707,18385002
JAX,ATL,Jacksonville-FL,Atlanta-GA,15348,18317,100,270,200104,1148044,4432950
ORD,EWR,Chicago-IL,Newark-NJ,0,0,17,719,200808,19031272,18968501
LIT,DFW,Little Rock-AR,Dallas-TX,11643,15120,216,304,200910,685488,12895230
ORD,DTW,Chicago-IL,Detroit-MI,4255,5984,49,235,199704,17405264,8934802
ICT,DAY,Wichita-KS,Dayton-OH,0,0,1,729,200508,583759,843575
EWR,DFW,Newark-NJ,Dallas-TX,6181,12584,121,1372,200401,18747431,11379964
BNA,MIA,Nashville-TN,Miami-FL,62,118,1,806,199212,1086033,8451688
ELP,DFW,El Paso-TX,Dallas-TX,73,118,1,551,199101,611299,8182938
PDX,RNO,Portland-OR,Reno-NV,2148,6704,49,444,200901,2241841,419261
MKE,DTW,Milwaukee-WI,Detroit-MI,3786,4300,43,238,199703,1459541,8934802
SAT,EWR,San Antonio-TX,Newark-NJ,1750,2356,19,1569,200811,2030691,18968501
PHX,FAT,Phoenix-AZ,Fresno-CA,2031,3000,60,493,200707,4175595,889888
GSP,LRD,Greenville-SC,Laredo-TX,0,0,5,1138,200703,616954,230848
MCI,AUS,Kansas City-MO,Austin-TX,1676,2500,50,650,200802,2046083,1654100
ATL,MIA,Atlanta-GA,Miami-FL,5257,9818,54,595,199709,3756986,9247394
OAK,PUB,Oakland-CA,Pueblo-CO,0,0,1,966,200201,4165678,146735
BTR,DFW,Baton Rouge-LA,Dallas-TX,41,46,1,383,199506,658598,8787062
CMH,EWR,Columbus-OH,Newark-NJ,2642,3150,63,462,200406,1696238,18747431
LGA,BUF,New York-NY,Buffalo-NY,173,200,4,292,200605,37651266,1130913
IAH,LRD,Houston-TX,Laredo-TX,44,50,1,301,200906,5867489,241438
LBF,EKO,North Platte-NE,Elko-NV,103,119,1,789,199205,34447,38698
HOU,EWR,Houston-TX,Newark-NJ,2550,7258,48,1411,199009,3789490,16868983
BUF,EWR,Buffalo-NY,Newark-NJ,217,490,5,282,199307,1190660,17013259
SLC,BOS,Salt Lake City-UT,Boston-MA,5651,10390,57,2105,199912,913736,8550938
MCI,OMA,Kansas City-MO,Omaha-NE,14,60,1,152,200303,1912368,790535
ATL,DTW,Atlanta-GA,Detroit-MI,10396,11877,65,594,200006,4281905,8914942
PIT,ATL,Pittsburgh-PA,Atlanta-GA,562,864,6,526,199710,2432761,3756986
BWI,BUF,Baltimore-MD,Buffalo-NY,16344,22879,167,281,200107,2577904,1163528
MCO,DFW,Orlando-FL,Dallas-TX,1108,1750,25,984,200702,2034878,12313304
SAN,ORD,San Diego-CA,Chicago-IL,12808,18348,132,1723,199712,2722060,17405264
CLT,TOL,Charlotte-NC,Toledo-OH,0,0,2,466,200410,1471706,671681
CMH,ATL,Columbus-OH,Atlanta-GA,159,177,1,446,199002,1410167,3087755
SAN,DFW,San Diego-CA,Dallas-TX,4641,5264,28,1171,199502,2641561,8787062
BTR,DFW,Baton Rouge-LA,Dallas-TX,7161,12780,90,383,199004,624709,8019250
MIA,DFW,Miami-FL,Dallas-TX,9577,13510,55,1121,200202,10425204,10953156
ATL,EWR,Atlanta-GA,Newark-NJ,5148,11594,62,745,199012,3087755,16868983
BTR,DFW,Baton Rouge-LA,Dallas-TX,9709,10692,243,383,200805,779340,12602170
ESF,MLU,Alexandria-LA,Monroe-LA,472,3036,66,78,199506,144877,167974
PHX,DTW,Phoenix-AZ,Detroit-MI,711,822,6,1671,200403,3723359,8996622
RDU,TPA,Raleigh-NC,Tampa-FL,2811,3100,62,587,200512,953157,2638814
MDW,TUS,Chicago-IL,Tucson-AZ,2386,4110,30,1440,200509,18724160,948965
MYR,ATL,Myrtle Beach-SC,Atlanta-GA,3836,4820,119,317,200506,228708,4947012
AFW,AUS,Dallas-TX,Austin-TX,0,0,31,187,200312,11164066,1382693
CLE,MIA,Cleveland-OH,Miami-FL,138,176,4,1080,200805,2094051,11003504
BOS,AUS,Boston-MA,Austin-TX,1846,3000,30,1698,200612,8946954,1528958
ABQ,ORD,Albuquerque-NM,Chicago-IL,3691,4130,59,1118,200904,857903,19161134
CLT,AGS,Charlotte-NC,Augusta-GA,721,1550,31,140,200901,1745524,539154
BIF,DFW,El Paso-TX,Dallas-TX,0,173,1,551,200708,727828,12313304
STL,ATL,St. Louis-MO,Atlanta-GA,385,745,5,483,199606,2642938,3652439
ALB,ORD,Albany-NY,Chicago-IL,7,109,1,723,199211,823094,16720340
ALB,ORD,Albany-NY,Chicago-IL,254,264,4,723,200904,857592,19161134
ATL,ABY,Atlanta-GA,Albany-GA,3464,6300,210,146,200105,4432950,159833
ANC,ADQ,Anchorage-AK,Kodiak-AK,14,111,1,252,199308,295958,14435
BDL,EWR,Hartford-CT,Newark-NJ,135,250,5,116,200008,1150915,18352743
SLC,OMA,Salt Lake City-UT,Omaha-NE,115,122,1,839,199904,913736,748056
PHX,OMA,Phoenix-AZ,Omaha-NE,12132,15834,120,1037,200107,3388445,775380
ROC,ORD,Rochester-NY,Chicago-IL,1551,1700,34,528,200912,1035566,19161134
ALB,EWR,Albany-NY,Newark-NJ,4188,7268,158,143,199803,819851,17341505
CLT,DTW,Charlotte-NC,Detroit-MI,75,144,1,500,199810,1223835,8944948
PIA,DFW,Peoria-IL,Dallas-TX,176,220,5,673,200510,367334,11632814
ICT,TUL,Wichita-KS,Tulsa-OK,1203,3900,30,132,199309,538101,790683
ORD,DFW,Chicago-IL,Dallas-TX,0,0,9,802,200503,18724160,11632814
PIT,TPA,Pittsburgh-PA,Tampa-FL,103,103,1,873,199311,2478989,2132804
MSP,MOT,Minneapolis-MN,Minot-ND,3118,4800,48,449,200712,3204196,63566
DCA,ORD,Washington-DC,Chicago-IL,20939,33084,233,612,199206,8474182,16720340
DCA,ALB,Washington-DC,Albany-NY,1194,3168,22,318,199808,9079986,819851
ROC,ATL,Rochester-NY,Atlanta-GA,165,214,2,749,199812,1020109,3872031
PIT,BUF,Pittsburgh-PA,Buffalo-NY,1237,3528,28,186,200306,2400193,1154212
TPA,MIA,Tampa-FL,Miami-FL,145,340,2,204,200311,2522780,10561342
PBI,MIA,West Palm Beach-FL,Miami-FL,153,230,2,62,199906,4760522,9521044
CHS,AUS,Charleston-SC,Austin-TX,0,66,1,1056,200704,631984,1594525
SAN,TUS,San Diego-CA,Tucson-AZ,7213,10823,79,367,200309,2926814,903320
STL,EWR,St. Louis-MO,Newark-NJ,1746,2247,21,872,199607,2642938,17190036
DTW,ORD,Detroit-MI,Chicago-IL,10281,14454,99,235,199011,8503650,16395048
CLE,ORD,Cleveland-OH,Chicago-IL,3314,3811,37,316,200010,2147948,18235464
MDW,TPA,Chicago-IL,Tampa-FL,753,959,7,997,200711,18903872,2711222
SLC,GYY,Salt Lake City-UT,Gary-IN,113,122,1,1277,200203,1001874,9245135
PVD,DTW,Providence-RI,Detroit-MI,5631,6300,63,614,199708,1501497,8934802
PHL,BUF,Philadelphia-PA,Buffalo-NY,2283,4464,31,279,199905,11042574,1142121
SEA,EWR,Seattle-WA,Newark-NJ,2090,4788,18,2401,199909,5900502,17431724
IAD,MIA,Washington-DC,Miami-FL,5663,10028,92,921,199001,8270942,8149380
MSP,EWR,Minneapolis-MN,Newark-NJ,1805,3416,28,1008,199404,2690359,17072218
PIT,EWR,Pittsburgh-PA,Newark-NJ,7644,12800,100,319,199406,2471125,17072218
YNG,CAK,Youngstown-OH,Akron-OH,1265,3392,53,47,199506,611729,680297
ATL,BUF,Atlanta-GA,Buffalo-NY,54,128,1,712,199901,3988728,1142121
JFK,ATL,New York-NY,Atlanta-GA,0,0,6,760,200212,37180170,4555490
DAY,ORD,Dayton-OH,Chicago-IL,112,139,1,240,199806,859406,17529224
MSP,FAR,Minneapolis-MN,Fargo-ND,228,610,5,223,199404,2690359,161744
DTW,ATL,Detroit-MI,Atlanta-GA,318,1250,25,594,199801,8944948,3872031
PIT,ALB,Pittsburgh-PA,Albany-NY,533,740,20,367,200411,2387819,843928
TPA,CAK,Tampa-FL,Akron-OH,2872,3510,30,894,200506,2638814,700649
ILE,DFW,Killeen-TX,Dallas-TX,3814,6290,185,130,200304,346490,11164066
STL,AUS,St. Louis-MO,Austin-TX,104,146,1,717,199105,2595543,874516
PHX,AUS,Phoenix-AZ,Austin-TX,77,141,1,868,200106,3388445,1324426
JFK,ATL,New York-NY,Atlanta-GA,5359,6313,59,760,199407,34144436,3444861
ORD,ORD,Chicago-IL,Chicago-IL,405,840,4,0,200504,18724160,18724160
SFO,ATL,San Francisco-CA,Atlanta-GA,20174,24795,87,2139,200604,8325566,5119641
MSP,ORD,Minneapolis-MN,Chicago-IL,4824,12400,124,334,199502,2725644,17155070
SYR,ORD,Syracuse-NY,Chicago-IL,640,726,11,607,200906,646084,19161134
PDX,RDM,Portland-OR,Bend-OR,31,36,2,116,199604,1763420,98602
STL,OMA,St. Louis-MO,Omaha-NE,2791,3836,28,342,200506,2773155,810493
GRR,DTW,Grand Rapids-MI,Detroit-MI,544,1344,12,120,199312,676292,8711888
ELP,DFW,El Paso-TX,Dallas-TX,12819,21016,148,551,199106,611299,8182938
CLM,EKO,Port Angeles-WA,Elko-NV,100,122,1,631,200303,66349,44934
SFO,ORD,San Francisco-CA,Chicago-IL,368,408,2,1846,199203,7578602,16720340
LEX,DFW,Lexington-KY,Dallas-TX,1695,2904,66,785,200902,470849,12895230
RDU,EWR,Raleigh-NC,Newark-NJ,563,1410,10,416,199912,743402,17431724
CHA,ATL,Chattanooga-TN,Atlanta-GA,5189,7515,114,106,200603,510542,5119641
SNA,DFW,Santa Ana-CA,Dallas-TX,4574,8400,56,1205,200210,12634977,10953156
MSY,MIA,New Orleans-LA,Miami-FL,6199,8899,61,674,199107,1269339,8312530
PHX,FAT,Phoenix-AZ,Fresno-CA,5223,6278,73,493,200904,4364094,915267
TUS,AUS,Tucson-AZ,Austin-TX,0,0,1,793,200404,924205,1418999
BWI,BOS,Baltimore-MD,Boston-MA,9591,14190,129,370,199607,2468142,8407438
MSP,EWR,Minneapolis-MN,Newark-NJ,859,1364,11,1008,200306,3078253,18671320
LAS,BOS,Las Vegas-NV,Boston-MA,2423,2632,14,2381,200410,1646875,8912958
EWR,DTW,Newark-NJ,Detroit-MI,2244,3136,28,487,200507,18798114,8988796
MSP,DTW,Minneapolis-MN,Detroit-MI,6439,10672,58,528,199201,2616238,8653794
IAD,BOS,Washington-DC,Boston-MA,427,480,4,413,200510,10458534,8917782
BTV,BGR,Burlington-VT,Bangor-ME,20,70,1,214,200310,203265,147123
STL,TUL,St. Louis-MO,Tulsa-OK,5344,7535,55,351,200512,2773155,881652
SFO,DFW,San Francisco-CA,Dallas-TX,2941,4410,30,1464,199407,7666396,8613622
LAX,BOS,Los Angeles-CA,Boston-MA,5374,7866,57,2611,200305,25434866,8916374
TLH,TOL,Tallahassee-FL,Toledo-OH,31,50,1,772,200703,353548,675351
DCA,ORD,Washington-DC,Chicago-IL,4597,6188,34,612,200712,10626066,18903872
IND,ATL,Indianapolis-IN,Atlanta-GA,1793,9130,85,432,199202,1337172,3245141
PDX,DFW,Portland-OR,Dallas-TX,6343,7998,62,1616,200207,2010666,10953156
MEM,BOS,Memphis-TN,Boston-MA,88,150,1,1139,199207,1090672,8227058
MCO,MIA,Orlando-FL,Miami-FL,346,414,9,193,199902,1535004,9521044
PIT,TPA,Pittsburgh-PA,Tampa-FL,5977,6950,55,873,199603,2447532,2195269
ORD,OMA,Chicago-IL,Omaha-NE,16499,19404,132,416,199807,17529224,742096
ATL,BUF,Atlanta-GA,Buffalo-NY,11242,14040,120,712,200404,4802300,1148714
SMF,AFW,Sacramento-CA,Dallas-TX,0,0,9,1414,200612,2050618,11998822
IAD,BOS,Washington-DC,Boston-MA,6694,11844,63,413,199803,9079986,8506878
OKC,TUL,Oklahoma City-OK,Tulsa-OK,49,64,1,111,199711,1045454,819477
PHX,YUM,Phoenix-AZ,Yuma-AZ,27,122,1,160,199008,2245805,107656
LAS,ATL,Las Vegas-NV,Atlanta-GA,40102,42711,171,1747,200708,1838635,5267527
SEA,ATL,Seattle-WA,Atlanta-GA,8043,9053,30,2182,199610,5621538,3652439
DCA,EWR,Washington-DC,Newark-NJ,184,236,2,199,199502,8757652,17130692
MYR,ATL,Myrtle Beach-SC,Atlanta-GA,66,119,1,317,200010,198132,4281905
MEM,ORD,Memphis-TN,Chicago-IL,125,200,4,491,200510,1261429,18724160
MCO,MIA,Orlando-FL,Miami-FL,2984,3840,30,193,199112,1274721,8312530
BWG,YIP,Bowling Green-KY,Detroit-MI,0,0,1,395,200110,105524,8958464
BNA,MDW,Nashville-TN,Chicago-IL,7624,13054,107,395,200102,1343263,18385002
DTW,ATL,Detroit-MI,Atlanta-GA,2592,3700,25,594,200401,8996622,4802300
CLT,TPA,Charlotte-NC,Tampa-FL,159,159,1,508,199702,1194105,2225002
ANC,EWR,Anchorage-AK,Newark-NJ,0,0,30,3370,200804,365790,18968501
DFW,BUF,Dallas-TX,Buffalo-NY,83,150,1,1212,199902,9703564,1142121
DTW,ORD,Detroit-MI,Chicago-IL,360,600,4,235,199101,8578382,16550288
PBI,MIA,West Palm Beach-FL,Miami-FL,11,99,1,62,199004,4074690,8149380
GSP,YIP,Greenville-SC,Detroit-MI,0,0,3,511,200512,590654,8988796
PHX,EWR,Phoenix-AZ,Newark-NJ,258,372,3,2133,200106,3388445,18490029
STL,BOS,St. Louis-MO,Boston-MA,8929,11596,84,1046,200706,2806368,9007842
ORD,EWR,Chicago-IL,Newark-NJ,177,400,4,719,199901,17655010,17431724
STL,DAY,St. Louis-MO,Dayton-OH,0,0,20,338,200306,2743862,845508
EWR,ORD,Newark-NJ,Chicago-IL,59,215,1,719,200109,18490029,18385002
RNO,FAT,Reno-NV,Fresno-CA,46,105,1,188,199411,285459,727869
PDX,ATL,Portland-OR,Atlanta-GA,4052,4499,30,2172,200611,2123960,5119641
ORD,BOS,Chicago-IL,Boston-MA,64,228,1,867,199003,16395048,8269386
FLL,ORD,Fort Lauderdale-FL,Chicago-IL,3961,4320,30,1182,200706,5465183,18903872
PIT,ATL,Pittsburgh-PA,Atlanta-GA,7182,11817,117,526,199410,2471125,3444861
IND,ORD,Indianapolis-IN,Chicago-IL,7811,10430,149,177,200709,1697656,18903872
MSP,MDW,Minneapolis-MN,Chicago-IL,494,745,5,349,200005,2981616,18235464
ICT,ORD,Wichita-KS,Chicago-IL,58,108,1,588,199210,530927,16720340
MCI,DAL,Kansas City-MO,Dallas-TX,5746,6344,52,461,200706,2011857,12313304
BHM,ATL,Birmingham-AL,Atlanta-GA,326,385,2,134,200010,1053394,4281905
DFW,TPA,Dallas-TX,Tampa-FL,27040,29155,213,929,200703,12313304,2711222
BKX,PIR,Brookings-SD,Pierre-SD,171,950,50,172,200709,29517,19737
IAD,TPA,Washington-DC,Tampa-FL,117,120,1,810,200403,10317048,2578104
LAX,AFW,Los Angeles-CA,Dallas-TX,0,0,37,1218,200805,25536790,12602170
MIA,EWR,Miami-FL,Newark-NJ,3818,4680,36,1086,199301,8572430,17013259
LAX,DFW,Los Angeles-CA,Dallas-TX,197,300,2,1235,199203,23010408,8314270
IAD,ORD,Washington-DC,Chicago-IL,7341,9936,69,589,199606,8857302,17287860
MBS,DTW,Saginaw-MI,Detroit-MI,473,668,6,98,199709,210753,8934802
BTR,ATL,Baton Rouge-LA,Atlanta-GA,3191,4544,32,449,199610,663438,3652439
EWR,ORD,Newark-NJ,Chicago-IL,591,1024,8,719,199106,16874842,16550288
MSY,MDW,New Orleans-LA,Chicago-IL,1114,1233,9,825,200703,1109415,18903872
MCI,ORD,Kansas City-MO,Chicago-IL,1503,1890,27,403,200902,2067585,19161134
SLC,AUS,Salt Lake City-UT,Austin-TX,53,104,1,1079,199511,867700,1001054
SEA,ORD,Seattle-WA,Chicago-IL,17860,21721,153,1721,199108,5242050,16550288
EWR,BOS,Newark-NJ,Boston-MA,18,68,2,200,200111,18490029,8886620
IAH,TUS,Houston-TX,Tucson-AZ,4236,4500,90,936,200910,5867489,1020200
HNL,ATL,Honolulu-HI,Atlanta-GA,10068,12188,44,4502,200702,898695,5267527
MSP,OMA,Minneapolis-MN,Omaha-NE,58,148,1,282,200906,3269814,849517
LGA,TPA,New York-NY,Tampa-FL,9723,11718,93,1011,199801,34683010,2254405
TPA,CAK,Tampa-FL,Akron-OH,143,144,1,894,200006,2404273,695971
STL,TPA,St. Louis-MO,Tampa-FL,99,137,1,869,200212,2733818,2483575
SFO,EWR,San Francisco-CA,Newark-NJ,133,264,1,2565,199603,7772198,17190036
MBS,DTW,Saginaw-MI,Detroit-MI,941,1870,17,98,200304,208182,8985512
LIT,DFW,Little Rock-AR,Dallas-TX,2448,4260,30,304,200007,612149,10392376
MOB,ATL,Mobile-AL,Atlanta-GA,6365,13857,93,302,199601,396444,3652439
OMA,MDW,Omaha-NE,Chicago-IL,210,610,5,423,200802,839265,19031272
ROC,ORD,Rochester-NY,Chicago-IL,682,1144,26,528,200210,1041120,18490270
CMH,DTW,Columbus-OH,Detroit-MI,222,440,4,155,199904,1562409,8962394
SAV,DFW,Savannah-GA,Dallas-TX,2249,2950,59,925,200809,334562,12602170
STL,ORD,St. Louis-MO,Chicago-IL,113,136,2,258,199708,2651494,17405264
SMF,ATL,Sacramento-CA,Atlanta-GA,8167,10920,60,2092,200311,1967052,4673146
IAD,BOS,Washington-DC,Boston-MA,1103,2520,21,413,200102,9854548,8886620
SYR,ELM,Syracuse-NY,Elmira-NY,0,0,17,77,200404,649089,89366
MCI,YIP,Kansas City-MO,Detroit-MI,0,0,1,620,200203,1890419,8972134
ORD,CWA,Chicago-IL,Wausau-WI,1846,2750,55,213,200806,19031272,131043
ORD,DTW,Chicago-IL,Detroit-MI,4475,5546,29,235,199811,17529224,8944948
BHM,MDW,Birmingham-AL,Chicago-IL,1430,1507,11,570,200604,1103572,18797710
SAT,ATL,San Antonio-TX,Atlanta-GA,0,0,1,874,200202,1777397,4555490
PBI,DTW,West Palm Beach-FL,Detroit-MI,4313,4920,30,1087,200104,5120256,8958464
CLT,ORD,Charlotte-NC,Chicago-IL,166,200,4,599,200611,1583869,18797710
PHL,DTW,Philadelphia-PA,Detroit-MI,638,1760,16,453,199211,10934282,8653794
STL,DFW,St. Louis-MO,Dallas-TX,1293,3600,24,551,199810,2655631,9475022
MSP,FAR,Minneapolis-MN,Fargo-ND,1462,1725,25,223,200609,3167666,189263
MEM,DFW,Memphis-TN,Dallas-TX,0,0,25,432,200411,1249048,11379964
