Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
PBG,BOS,Plattsburgh-NY,Boston-MA,3,17,1,201,200710,81865,9007842
MKE,ATL,Milwaukee-WI,Atlanta-GA,272,306,2,669,199608,1461595,3652439
PBI,ATL,West Palm Beach-FL,Atlanta-GA,142,194,2,545,199011,4074690,3087755
MSP,ORD,Minneapolis-MN,Chicago-IL,0,174,1,334,200911,3269814,19161134
GPT,ATL,Gulfport-MS,Atlanta-GA,1801,1980,30,352,200105,248185,4432950
PHL,DAY,Philadelphia-PA,Dayton-OH,2625,5300,53,477,200009,11386550,848093
PHX,TUS,Phoenix-AZ,Tucson-AZ,328,402,3,110,200805,4287323,1009832
IAH,DFW,Houston-TX,Dallas-TX,2055,2852,23,224,200405,5190444,11379964
SFO,ATL,San Francisco-CA,Atlanta-GA,3154,3480,29,2139,200603,8325566,5119641
EWR,ORD,Newark-NJ,Chicago-IL,5086,7936,62,719,199509,17130692,17155070
ATL,DAY,Atlanta-GA,Dayton-OH,11267,17784,152,432,200407,4802300,845594
TOL,MDW,Toledo-OH,Chicago-IL,3149,4998,147,205,200210,666252,18490270
MHT,TPA,Manchester-NH,Tampa-FL,2699,3699,27,1204,200811,404074,2730007
PWM,ORD,Portland-ME,Chicago-IL,2790,4060,58,900,200410,509528,18664180
SJC,AUS,San Jose-CA,Austin-TX,1933,4402,31,1471,199210,1562254,901055
CLT,ORD,Charlotte-NC,Chicago-IL,1881,3770,31,599,200401,1471706,18664180
BWI,EWR,Baltimore-MD,Newark-NJ,3514,7040,55,169,199606,2468142,17190036
CLT,ATL,Charlotte-NC,Atlanta-GA,801,1200,24,227,200301,1436890,4673146
PWM,DTW,Portland-ME,Detroit-MI,1052,1788,36,668,200310,506179,8985512
IAD,BOS,Washington-DC,Boston-MA,21573,53950,415,413,200003,9642062,8805222
BTR,DFW,Baton Rouge-LA,Dallas-TX,1946,4318,29,383,199203,641721,8314270
DTW,PIA,Detroit-MI,Peoria-IL,0,0,1,346,200610,8969084,368746
MGM,DFW,Montgomery-AL,Dallas-TX,1589,2750,55,622,200008,347002,10392376
EWR,DFW,Newark-NJ,Dallas-TX,202,236,2,1372,199010,16868983,8019250
TLH,DFW,Tallahassee-FL,Dallas-TX,1496,2100,42,767,200912,360013,12895230
SNA,AUS,Santa Ana-CA,Austin-TX,88,104,1,1208,200212,12634977,1353176
BWI,TPA,Baltimore-MD,Tampa-FL,94,126,1,842,200309,2621815,2522780
BGM,DTW,Binghamton-NY,Detroit-MI,1149,2668,59,378,200309,249645,8985512
DAY,ORD,Dayton-OH,Chicago-IL,3113,4800,96,240,200211,845416,18490270
STL,TUL,St. Louis-MO,Tulsa-OK,2943,4520,37,351,199407,2624554,794748
MHT,EWR,Manchester-NH,Newark-NJ,920,992,8,209,200404,396542,18747431
HOU,ATL,Houston-TX,Atlanta-GA,10841,15729,147,696,199705,4351339,3756986
ORD,DTW,Chicago-IL,Detroit-MI,2703,3000,25,235,200011,18235464,8914942
MCI,TUL,Kansas City-MO,Tulsa-OK,4226,7398,54,223,199706,1776103,819477
RIC,ORD,Richmond-VA,Chicago-IL,231,360,3,642,200108,1111363,18385002
ATL,ORD,Atlanta-GA,Chicago-IL,3619,4560,38,606,200506,4947012,18724160
MIA,DTW,Miami-FL,Detroit-MI,678,800,8,1145,200207,10425204,8972134
AUS,DAL,Austin-TX,Dallas-TX,10075,14248,104,189,200904,1705075,12895230
MYR,BOS,Myrtle Beach-SC,Boston-MA,395,400,8,738,200110,201918,8886620
BOS,TPA,Boston-MA,Tampa-FL,1054,1764,7,1185,199501,8357434,2175213
DCA,EWR,Washington-DC,Newark-NJ,141,942,6,199,200811,10755872,18968501
BNA,DFW,Nashville-TN,Dallas-TX,8154,11815,85,631,199802,1229700,9475022
MIA,ORD,Miami-FL,Chicago-IL,176,215,1,1197,199801,9383038,17529224
DFW,MOB,Dallas-TX,Mobile-AL,12,40,1,540,200202,10953156,398417
MCO,MDW,Orlando-FL,Chicago-IL,13460,22057,161,989,200811,2060968,19031272
ORD,RNO,Chicago-IL,Reno-NV,5431,8120,58,1671,199509,17155070,292936
CMH,ATL,Columbus-OH,Atlanta-GA,5499,9402,78,446,199005,1410167,3087755
DLH,DTW,Duluth-MN,Detroit-MI,2071,5382,78,541,199910,267892,8962394
MEM,ORD,Memphis-TN,Chicago-IL,1808,2352,21,491,199704,1145788,17405264
PHL,ATL,Philadelphia-PA,Atlanta-GA,1292,1400,28,665,200310,11575576,4673146
EWR,ORD,Newark-NJ,Chicago-IL,14039,22568,217,719,200210,18590085,18490270
HNL,DTW,Honolulu-HI,Detroit-MI,166,271,1,4475,200101,877189,8958464
PIT,ORD,Pittsburgh-PA,Chicago-IL,4736,5412,82,412,200607,2361482,18797710
SNA,ORD,Santa Ana-CA,Chicago-IL,7884,10374,57,1726,200811,12768395,19031272
LAS,RNO,Las Vegas-NV,Reno-NV,11437,17429,124,345,199310,877917,276956
PNS,ATL,Pensacola-FL,Atlanta-GA,2075,3010,43,272,200704,450333,5267527
PIT,DAY,Pittsburgh-PA,Dayton-OH,4026,6386,62,215,199404,2471125,859147
MOB,ATL,Mobile-AL,Atlanta-GA,6954,14768,104,302,200109,400094,4432950
PBI,ATL,West Palm Beach-FL,Atlanta-GA,998,2416,8,545,199408,4373451,3444861
IAD,ORD,Washington-DC,Chicago-IL,299,576,4,589,199710,8966798,17405264
CLT,BUF,Charlotte-NC,Buffalo-NY,5376,6156,57,546,199807,1223835,1151490
PDX,EKO,Portland-OR,Elko-NV,464,520,8,475,199204,1614266,38698
MBS,DTW,Saginaw-MI,Detroit-MI,40,78,1,98,199310,211854,8711888
PWM,EWR,Portland-ME,Newark-NJ,2060,3192,31,284,199007,442496,16868983
IAD,DFW,Washington-DC,Dallas-TX,2286,3484,26,1172,200304,10172752,11164066
MSP,OMA,Minneapolis-MN,Omaha-NE,7531,12848,88,282,199105,2581103,694707
DFW,ABI,Dallas-TX,Abilene-TX,53,68,2,158,199706,9231044,153013
SFO,DFW,San Francisco-CA,Dallas-TX,2693,4263,29,1464,199612,7772198,8994450
FWA,ORD,Fort Wayne-IN,Chicago-IL,2370,3850,77,157,200312,398574,18572324
CMH,ATL,Columbus-OH,Atlanta-GA,65,76,1,446,200809,1779822,5385586
RFD,ORD,Rockford-IL,Chicago-IL,85,126,1,63,199407,297781,17018756
FSM,DFW,Fort Smith-AR,Dallas-TX,3491,6250,125,228,200904,293063,12895230
EYW,TPA,Key West-FL,Tampa-FL,2970,3667,193,240,200603,74104,2684639
DCA,BOS,Washington-DC,Boston-MA,1616,4260,30,399,199104,8369110,8227986
MSP,DLH,Minneapolis-MN,Duluth-MN,1767,2448,72,144,200003,2981616,275580
ABE,ATL,Allentown-PA,Atlanta-GA,4006,6420,60,692,199607,710211,3652439
BUF,DTW,Buffalo-NY,Detroit-MI,642,952,28,240,199904,1142121,8962394
LAN,DTW,Lansing-MI,Detroit-MI,949,1088,22,74,200604,455947,8969084
SEA,AUS,Seattle-WA,Austin-TX,115,139,1,1764,199811,5831556,1104612
ELP,DFW,El Paso-TX,Dallas-TX,5496,6984,72,551,199911,701908,9703564
ORD,DFW,Chicago-IL,Dallas-TX,4686,5922,33,802,199006,16395048,8019250
SFO,ORD,San Francisco-CA,Chicago-IL,5776,6057,27,1846,200706,8404372,18903872
CVG,BUF,Cincinnati-OH,Buffalo-NY,2465,5564,52,410,199302,1909662,1190660
DFW,BOS,Dallas-TX,Boston-MA,24277,33559,260,1562,200404,11379964,8912958
BOS,EWR,Boston-MA,Newark-NJ,1076,4464,31,200,199708,8460622,17264316
BOS,EWR,Boston-MA,Newark-NJ,6,280,1,200,199501,8357434,17130692
HOU,DFW,Houston-TX,Dallas-TX,191,264,6,247,200511,5299567,11632814
STL,MWA,St. Louis-MO,Marion-IL,767,1957,103,100,199604,2642938,60636
DTW,ATL,Detroit-MI,Atlanta-GA,12775,15708,77,594,199906,8962394,3988728
MCI,DTW,Kansas City-MO,Detroit-MI,3436,5500,55,630,199701,1776103,8934802
MDW,DTW,Chicago-IL,Detroit-MI,462,858,11,229,199712,17405264,8934802
MKE,ORD,Milwaukee-WI,Chicago-IL,112,132,1,67,199905,1462422,17655010
SEA,EKO,Seattle-WA,Elko-NV,307,366,3,560,200205,6243790,45640
EWR,TOL,Newark-NJ,Toledo-OH,0,0,10,506,200911,19069796,672220
SAT,DAL,San Antonio-TX,Dallas-TX,13766,19154,157,247,199006,1410627,8019250
OAK,ORD,Oakland-CA,Chicago-IL,4395,5439,37,1835,199510,3852112,17155070
PHX,DTW,Phoenix-AZ,Detroit-MI,5997,7396,26,1671,200102,3388445,8958464
MEM,TUS,Memphis-TN,Tucson-AZ,0,0,29,1224,200805,1298529,1009832
ATL,MIA,Atlanta-GA,Miami-FL,6972,9527,38,595,200010,4281905,10051612
FYV,DAL,Fayetteville-AR,Dallas-TX,37,50,1,266,200512,413777,11632814
CLT,BOS,Charlotte-NC,Boston-MA,2052,3190,29,727,199511,1135592,8357434
SMF,ORD,Sacramento-CA,Chicago-IL,3684,4309,31,1781,199410,1609032,17018756
SLC,OMA,Salt Lake City-UT,Omaha-NE,4267,6206,58,839,199602,882467,728169
MSY,DFW,New Orleans-LA,Dallas-TX,218,296,2,448,200604,987535,11998822
TUS,DFW,Tucson-AZ,Dallas-TX,1438,1550,31,813,200303,903320,11164066
MCO,ATL,Orlando-FL,Atlanta-GA,1268,1386,6,403,199612,1422502,3652439
MIA,EWR,Miami-FL,Newark-NJ,3884,4650,31,1086,199912,9521044,17431724
AZO,DTW,Kalamazoo-MI,Detroit-MI,3758,5508,117,113,200211,319048,8972134
PHL,ORD,Philadelphia-PA,Chicago-IL,5241,8085,55,678,199712,11003856,17405264
LAX,ORD,Los Angeles-CA,Chicago-IL,2669,4400,25,1745,200102,25051472,18385002
PDX,EUG,Portland-OR,Eugene-OR,2717,8236,58,106,199006,1534762,284093
PDX,RNO,Portland-OR,Reno-NV,7590,15960,114,444,199209,1614266,270629
ALB,EWR,Albany-NY,Newark-NJ,741,1250,25,143,200003,827227,18352743
DCA,ORD,Washington-DC,Chicago-IL,3750,9990,70,612,200002,9642062,18235464
PHL,ATL,Philadelphia-PA,Atlanta-GA,21888,31998,175,665,200301,11575576,4673146
MIA,EWR,Miami-FL,Newark-NJ,10515,14125,95,1086,199507,8913928,17130692
JFK,PIA,New York-NY,Peoria-IL,112,129,1,835,200306,37342640,364769
RDU,EWR,Raleigh-NC,Newark-NJ,112,208,2,416,199702,697449,17264316
PNS,ORD,Pensacola-FL,Chicago-IL,115,150,3,794,200805,453132,19031272
LRD,DFW,Laredo-TX,Dallas-TX,1500,2288,52,394,200704,230848,12313304
MCO,BOS,Orlando-FL,Boston-MA,0,0,1,1121,200211,1756852,8918022
CVG,TUL,Cincinnati-OH,Tulsa-OK,2143,3000,60,646,200307,2066256,876919
RST,ORD,Rochester-MN,Chicago-IL,6586,9400,188,268,200709,180773,18903872
FWA,ATL,Fort Wayne-IN,Atlanta-GA,813,1040,26,508,200111,393586,4432950
CLT,DTW,Charlotte-NC,Detroit-MI,976,1821,15,500,199409,1108977,8761684
TLH,TPA,Tallahassee-FL,Tampa-FL,3651,7420,70,200,200206,327044,2483575
DSM,DFW,Des Moines-IA,Dallas-TX,2041,2600,52,624,200412,511589,11379964
MSP,FAR,Minneapolis-MN,Fargo-ND,55,125,1,223,200805,3237612,195948
ATL,ORD,Atlanta-GA,Chicago-IL,1204,1406,13,606,200610,5119641,18797710
PHX,ORD,Phoenix-AZ,Chicago-IL,5714,6768,36,1440,199609,2753549,17287860
ABQ,DAL,Albuquerque-NM,Dallas-TX,7346,13015,95,580,200401,780865,11379964
GFK,BJI,Grand Forks-ND,Bemidji-MN,0,0,23,109,200912,97190,44350
COS,ORD,Colorado Springs-CO,Chicago-IL,3060,4557,31,911,199510,482314,17155070
PIT,EWR,Pittsburgh-PA,Newark-NJ,1293,1512,21,319,200704,2357141,18901167
MSP,ORD,Minneapolis-MN,Chicago-IL,81,150,1,334,199411,2690359,17018756
ATL,BOS,Atlanta-GA,Boston-MA,132,214,2,946,199611,3652439,8407438
PHL,LAW,Philadelphia-PA,Lawton-OK,122,168,1,1325,200306,11575576,110484
PBI,BOS,West Palm Beach-FL,Boston-MA,2520,3200,25,1197,199303,4286215,8260582
ROC,ORD,Rochester-NY,Chicago-IL,1811,3360,28,528,200105,1041069,18385002
ELP,AUS,El Paso-TX,Austin-TX,2032,2684,22,528,200209,688771,1353176
IAH,DFW,Houston-TX,Dallas-TX,0,0,21,224,200606,5484883,11998822
ORD,MIA,Chicago-IL,Miami-FL,378,480,4,1197,200310,18572324,10561342
SLC,OMA,Salt Lake City-UT,Omaha-NE,2656,3050,61,839,200308,1016377,790535
JFK,MIA,New York-NY,Miami-FL,82,215,1,1090,200102,36980058,10240512
AFW,ORD,Dallas-TX,Chicago-IL,0,0,16,806,200701,12313304,18903872
HOU,ORD,Houston-TX,Chicago-IL,463,540,5,945,199207,3983375,16720340
SEA,JNU,Seattle-WA,Juneau-AK,393,536,9,909,199905,5900502,30192
MSP,MOT,Minneapolis-MN,Minot-ND,80,366,3,449,199104,2581103,66665
GPT,ATL,Gulfport-MS,Atlanta-GA,2879,6210,207,352,199512,225681,3548667
STL,DAY,St. Louis-MO,Dayton-OH,85,146,1,339,199010,2584656,844660
BNA,PIA,Nashville-TN,Peoria-IL,44,50,1,353,200408,1416452,366024
MKE,ORD,Milwaukee-WI,Chicago-IL,114,236,2,67,199007,1434279,16395048
CLE,MIA,Cleveland-OH,Miami-FL,569,620,5,1080,200501,2118249,10886318
SEA,DTW,Seattle-WA,Detroit-MI,3005,4350,29,1927,199905,5900502,8962394
SEA,EUG,Seattle-WA,Eugene-OR,2692,4247,137,234,199601,5621538,306326
BNA,TPA,Nashville-TN,Tampa-FL,362,488,4,612,200608,1489156,2684639
CVG,EWR,Cincinnati-OH,Newark-NJ,5974,11644,82,569,200202,2050030,18590085
ILE,ACT,Killeen-TX,Waco-TX,116,870,29,45,199610,311709,201104
PIA,DAY,Peoria-IL,Dayton-OH,0,0,7,294,200411,366024,845594
EKO,BTM,Elko-NV,Butte-MT,97,122,1,391,200010,46863,34520
PFN,ATL,Panama City-FL,Atlanta-GA,4953,7644,78,247,199105,129950,3163883
IAH,EWR,Houston-TX,Newark-NJ,530,705,3,1400,200507,5299567,18798114
LAS,ORD,Las Vegas-NV,Chicago-IL,16376,17236,124,1515,199804,1161259,17529224
MKE,ORD,Milwaukee-WI,Chicago-IL,261,280,1,67,200906,1559667,19161134
EWR,TPA,Newark-NJ,Tampa-FL,187,199,1,998,200912,19069796,2747272
MEM,ATL,Memphis-TN,Atlanta-GA,51,122,1,332,199203,1090672,3245141
ATL,DTW,Atlanta-GA,Detroit-MI,3118,4480,40,594,199110,3163883,8578382
JAX,ATL,Jacksonville-FL,Atlanta-GA,143,149,1,270,199711,1050238,3756986
STL,MDW,St. Louis-MO,Chicago-IL,18033,24034,197,251,199610,2642938,17287860
CID,ORD,Cedar Rapids-IA,Chicago-IL,2851,6058,61,196,199410,220669,17018756
DCA,DTW,Washington-DC,Detroit-MI,753,1830,15,405,199908,9231820,8962394
EWR,DAY,Newark-NJ,Dayton-OH,46,74,2,533,200611,18825633,841558
DTW,DFW,Detroit-MI,Dallas-TX,758,1680,15,987,199609,8912962,8994450
AZO,DTW,Kalamazoo-MI,Detroit-MI,359,468,6,113,199903,305784,8962394
JFK,MIA,New York-NY,Miami-FL,1934,4617,27,1090,199410,34144436,8746902
MDT,DTW,Harrisburg-PA,Detroit-MI,64,300,3,370,199106,480880,8578382
MEM,OMA,Memphis-TN,Omaha-NE,1056,1560,20,538,199402,1114203,709260
SPS,DFW,Wichita Falls-TX,Dallas-TX,3283,5814,171,113,200308,150809,11164066
IAD,ORD,Washington-DC,Chicago-IL,3264,4410,30,589,199903,9231820,17655010
SAT,ATL,San Antonio-TX,Atlanta-GA,16748,21300,150,874,200104,1743796,4432950
SFO,BOS,San Francisco-CA,Boston-MA,5336,6400,32,2704,199008,7436126,8269386
ORD,DTW,Chicago-IL,Detroit-MI,4787,10074,69,235,199001,16395048,8503650
MDT,EWR,Harrisburg-PA,Newark-NJ,72,76,1,141,200908,536919,19069796
ICT,DFW,Wichita-KS,Dallas-TX,1655,1960,28,328,200502,583759,11632814
MSP,DLH,Minneapolis-MN,Duluth-MN,2168,2668,59,144,200605,3167666,273716
MSP,FAR,Minneapolis-MN,Fargo-ND,4470,7008,48,223,199402,2690359,161744
PHX,YUM,Phoenix-AZ,Yuma-AZ,3582,4329,117,160,200703,4175595,189181
ORD,PIA,Chicago-IL,Peoria-IL,148,250,5,130,200309,18572324,364769
JFK,ATL,New York-NY,Atlanta-GA,260,400,8,760,200510,37596228,4947012
CLE,BOS,Cleveland-OH,Boston-MA,2793,3865,25,563,200411,2128958,8912958
SJC,BOS,San Jose-CA,Boston-MA,113,290,1,2689,199109,1545325,8227986
CMH,EWR,Columbus-OH,Newark-NJ,3107,4998,48,462,199510,1499793,17130692
IAH,DTW,Houston-TX,Detroit-MI,190,206,2,1076,199409,4127013,8761684
STL,DTW,St. Louis-MO,Detroit-MI,8205,13400,134,440,200001,2701634,8914942
LIT,DFW,Little Rock-AR,Dallas-TX,2868,3000,60,304,200809,675921,12602170
TUS,DFW,Tucson-AZ,Dallas-TX,5321,9523,89,814,199004,668242,8019250
EAU,EKO,Eau Claire-WI,Elko-NV,121,122,1,1260,200211,150861,45640
LBB,DFW,Lubbock-TX,Dallas-TX,11125,17700,118,282,199003,230140,8019250
STL,TUL,St. Louis-MO,Tulsa-OK,4686,7470,83,351,199305,2616153,790683
FWA,ATL,Fort Wayne-IN,Atlanta-GA,2453,3633,25,508,199502,363709,3548667
CMH,ORD,Columbus-OH,Chicago-IL,514,616,14,296,200908,1801848,19161134
DCA,BOS,Washington-DC,Boston-MA,39,141,1,399,199105,8369110,8227986
LGA,DTW,New York-NY,Detroit-MI,346,550,11,501,200412,37494862,8996622
LAS,DFW,Las Vegas-NV,Dallas-TX,5204,5680,40,1056,199010,754581,8019250
LAX,BOS,Los Angeles-CA,Boston-MA,3536,5432,28,2611,199010,22585772,8269386
MCO,BOS,Orlando-FL,Boston-MA,4002,6322,29,1121,199607,1422502,8407438
DSM,PIA,Des Moines-IA,Peoria-IL,0,0,18,216,200404,511589,366024
SMF,DFW,Sacramento-CA,Dallas-TX,12213,17097,123,1431,199801,1707530,9475022
LEX,MDW,Lexington-KY,Chicago-IL,2268,3808,112,311,200212,419455,18490270
CLE,MIA,Cleveland-OH,Miami-FL,200,248,2,1080,200801,2094051,11003504
BOS,BUF,Boston-MA,Buffalo-NY,2464,3193,31,396,199308,8260582,1190660
EWR,BUF,Newark-NJ,Buffalo-NY,666,1488,12,282,200002,18352743,1169159
CVG,ALB,Cincinnati-OH,Albany-NY,1449,3100,31,623,200403,2083905,843928
IAH,ATL,Houston-TX,Atlanta-GA,2442,3000,60,689,200309,5084017,4673146
SFO,EWR,San Francisco-CA,Newark-NJ,9780,11466,63,2565,200407,8287044,18747431
HOU,DAL,Houston-TX,Dallas-TX,29777,43959,321,239,200808,5726705,12602170
HOU,AUS,Houston-TX,Austin-TX,766,3942,27,152,199104,3888584,874516
MOB,DFW,Mobile-AL,Dallas-TX,8,64,1,540,199411,395838,8613622
CHS,ATL,Charleston-SC,Atlanta-GA,0,50,1,259,200802,647194,5385586
DTW,ALB,Detroit-MI,Albany-NY,1135,1210,11,488,200006,8914942,827227
DTW,BOS,Detroit-MI,Boston-MA,11695,17772,60,632,199209,8653794,8227058
TPA,ORD,Tampa-FL,Chicago-IL,2870,3024,28,1012,199410,2154044,17018756
MCO,MIA,Orlando-FL,Miami-FL,1300,2646,18,193,199112,1274721,8312530
ORD,TPA,Chicago-IL,Tampa-FL,2533,4914,27,1012,200009,18235464,2404273
MCI,ORD,Kansas City-MO,Chicago-IL,342,450,3,403,199407,1714344,17018756
HOU,ATL,Houston-TX,Atlanta-GA,1731,3210,30,696,199301,4058868,3339551
EWR,DTW,Newark-NJ,Detroit-MI,1371,2850,57,487,200301,18671320,8985512
PVD,ORD,Providence-RI,Chicago-IL,2204,2725,25,849,199606,1500950,17287860
PHL,DAY,Philadelphia-PA,Dayton-OH,1105,3168,22,477,200005,11386550,848093
TPA,ATL,Tampa-FL,Atlanta-GA,3897,4938,27,406,200102,2442189,4432950
EWR,MIA,Newark-NJ,Miami-FL,3602,7755,30,1086,199005,16868983,8149380
JFK,MIA,New York-NY,Miami-FL,7413,12549,47,1090,199012,33737966,8149380
CVG,DFW,Cincinnati-OH,Dallas-TX,18,150,1,812,200110,2035680,10709246
MSP,ORD,Minneapolis-MN,Chicago-IL,52,138,1,334,200004,2981616,18235464
SFO,DFW,San Francisco-CA,Dallas-TX,179,290,1,1464,199607,7772198,8994450
BHM,ORD,Birmingham-AL,Chicago-IL,123,150,3,584,200808,1123146,19031272
OAK,DAL,Oakland-CA,Dallas-TX,117,137,1,1468,200308,4153143,11164066
ROC,BOS,Rochester-NY,Boston-MA,57,142,1,343,199709,1022437,8460622
MSP,DTW,Minneapolis-MN,Detroit-MI,173,366,3,528,199209,2616238,8653794
MSP,ATL,Minneapolis-MN,Atlanta-GA,1916,3100,25,906,200903,3269814,5475213
GRR,DTW,Grand Rapids-MI,Detroit-MI,5655,6512,44,120,200606,770744,8969084
LAS,TUL,Las Vegas-NV,Tulsa-OK,485,548,4,1076,200604,1778129,892635
ATL,DTW,Atlanta-GA,Detroit-MI,294,408,2,594,199103,3163883,8578382
RIC,EWR,Richmond-VA,Newark-NJ,4010,6200,124,278,200802,1227115,18968501
OMA,ORD,Omaha-NE,Chicago-IL,3683,11076,78,416,199101,694707,16550288
CLT,DFW,Charlotte-NC,Dallas-TX,16167,16848,117,936,200907,1745524,12895230
PHL,MDW,Philadelphia-PA,Chicago-IL,7764,9316,68,668,200405,11645752,18664180
AUS,DFW,Austin-TX,Dallas-TX,187,188,1,183,199701,1067953,9231044
MCI,ORD,Kansas City-MO,Chicago-IL,95,216,2,403,199101,1657663,16550288
LGA,ATL,New York-NY,Atlanta-GA,100,100,1,761,200602,37651266,5119641
OKC,ORD,Oklahoma City-OK,Chicago-IL,1261,1500,30,693,200711,1191244,18903872
BWI,DTW,Baltimore-MD,Detroit-MI,3307,4400,44,408,200312,2621815,8985512
BTR,DFW,Baton Rouge-LA,Dallas-TX,3040,3210,30,383,199606,663438,8994450
GRR,ORD,Grand Rapids-MI,Chicago-IL,94,236,2,137,199203,668870,16720340
FWA,TOL,Fort Wayne-IN,Toledo-OH,43,142,1,84,199503,363709,651403
DTW,BOS,Detroit-MI,Boston-MA,16560,29728,164,632,200106,8958464,8886620
SEA,TUS,Seattle-WA,Tucson-AZ,234,248,2,1216,200912,6815696,1020200
MSP,ATL,Minneapolis-MN,Atlanta-GA,1677,2125,17,906,200206,3053303,4555490
BDL,ATL,Hartford-CT,Atlanta-GA,11386,16555,91,859,199803,1109081,3872031
PHX,DFW,Phoenix-AZ,Dallas-TX,26172,36666,264,868,199811,2930726,9475022
STL,MIA,St. Louis-MO,Miami-FL,252,321,3,1068,199112,2595543,8312530
CVG,DTW,Cincinnati-OH,Detroit-MI,1370,4402,31,229,199208,1888933,8653794
DTW,FNT,Detroit-MI,Flint-MI,6562,9000,90,56,199711,8934802,435312
SEA,JNU,Seattle-WA,Juneau-AK,6165,10626,77,909,200309,6277876,30892
CRW,YIP,Charleston-WV,Detroit-MI,0,0,1,286,200509,304426,8988796
CVG,DTW,Cincinnati-OH,Detroit-MI,5,146,1,229,199308,1909662,8711888
EKO,FAT,Elko-NV,Fresno-CA,102,124,1,350,199508,42918,734615
PHL,ERI,Philadelphia-PA,Erie-PA,104,150,3,300,200510,11701242,278933
JAN,ATL,Jackson-MS,Atlanta-GA,0,0,0,341,199901,486914,3988728
DTW,ATL,Detroit-MI,Atlanta-GA,4844,7874,31,594,199304,8711888,3339551
LAS,DFW,Las Vegas-NV,Dallas-TX,13246,15624,62,1055,199408,938611,8613622
MKE,FNT,Milwaukee-WI,Flint-MI,939,1824,96,211,200310,1528417,439544
MSP,ORD,Minneapolis-MN,Chicago-IL,7725,11250,90,334,200810,3237612,19031272
DFW,ATL,Dallas-TX,Atlanta-GA,4404,9656,68,732,199108,8182938,3163883
PHL,DTW,Philadelphia-PA,Detroit-MI,47,118,1,453,199001,10881988,8503650
LGA,BGR,New York-NY,Bangor-ME,30,44,1,378,200503,37596228,147020
MGM,ATL,Montgomery-AL,Atlanta-GA,6390,8774,82,147,199802,334554,3872031
SEA,EUG,Seattle-WA,Eugene-OR,1819,2682,149,234,199404,5485752,298720
ANC,DTW,Anchorage-AK,Detroit-MI,396,403,1,2986,200205,332703,8972134
LGA,DFW,New York-NY,Dallas-TX,2799,4140,30,1389,199406,34144436,8613622
TPA,ORD,Tampa-FL,Chicago-IL,2550,4230,30,1012,200110,2442189,18385002
IAD,DTW,Washington-DC,Detroit-MI,172,330,3,383,200002,9642062,8914942
BDL,ORD,Hartford-CT,Chicago-IL,169,240,2,783,200007,1150915,18235464
LSE,ORD,La Crosse-WI,Chicago-IL,43,74,2,215,200811,131728,19031272
JFK,MIA,New York-NY,Miami-FL,75,197,1,1090,199008,33737966,8149380
AUS,ORD,Austin-TX,Chicago-IL,9753,13057,92,972,199305,931671,16876600
ABQ,ORD,Albuquerque-NM,Chicago-IL,49,70,1,1118,200509,798722,18724160
