Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
MHR,RNO,Sacramento-CA,Reno-NV,0,0,3,105,200512,2028664,394881
LBB,ABI,Lubbock-TX,Abilene-TX,0,130,1,151,200406,261093,158571
PVD,YIP,Providence-RI,Detroit-MI,0,0,1,624,200609,1603830,8969084
RFD,EKO,Rockford-IL,Elko-NV,119,119,1,1382,199108,288599,37382
ANC,ORD,Anchorage-AK,Chicago-IL,9447,11280,60,2846,199607,301589,17287860
JAX,MIA,Jacksonville-FL,Miami-FL,0,0,1,334,200512,1248524,10886318
SUM,YIP,Sumter-SC,Detroit-MI,0,0,1,594,200512,104885,8988796
PIT,BOS,Pittsburgh-PA,Boston-MA,7,128,1,496,199404,2471125,8293684
IAH,MCN,Houston-TX,Macon-GA,46,50,1,716,200507,5299567,227607
SYR,ATL,Syracuse-NY,Atlanta-GA,14,148,1,793,199106,665743,3163883
SEA,DFW,Seattle-WA,Dallas-TX,26525,32133,247,1660,200502,6404776,11632814
GRR,DFW,Grand Rapids-MI,Dallas-TX,65,74,2,931,199910,718518,9703564
ELP,DAL,El Paso-TX,Dallas-TX,373,488,4,562,200710,727828,12313304
MSP,AUS,Minneapolis-MN,Austin-TX,101,110,1,1042,200707,3204196,1594525
BOS,YIP,Boston-MA,Detroit-MI,0,0,1,641,200208,8918022,8972134
CLE,BOS,Cleveland-OH,Boston-MA,38,141,1,563,200002,2147948,8805222
FLL,DTW,Fort Lauderdale-FL,Detroit-MI,101,122,1,1127,199012,4074690,8503650
SJC,ORD,San Jose-CA,Chicago-IL,18275,24430,178,1829,199807,1690832,17529224
LAS,TUS,Las Vegas-NV,Tucson-AZ,357,610,5,365,200109,1456549,865694
PBI,DFW,West Palm Beach-FL,Dallas-TX,826,1512,6,1103,199408,4373451,8613622
BDL,BUF,Hartford-CT,Buffalo-NY,139,476,7,317,199103,1124022,1191010
LCK,GYY,Columbus-OH,Gary-IN,34,224,2,266,200501,1714463,9362080
SFB,BGR,Orlando-FL,Bangor-ME,682,722,2,1299,199810,1502837,144431
EWR,BOS,Newark-NJ,Boston-MA,17633,30525,213,200,199304,17013259,8260582
BUF,ORD,Buffalo-NY,Chicago-IL,57,64,1,473,200603,1130913,18797710
MCO,EWR,Orlando-FL,Newark-NJ,0,140,1,938,200011,1656835,18352743
ATL,BOS,Atlanta-GA,Boston-MA,0,250,1,946,200705,5267527,9007842
PBI,EWR,West Palm Beach-FL,Newark-NJ,94,104,1,1024,199912,4760522,17431724
MKE,DAY,Milwaukee-WI,Dayton-OH,0,0,1,284,200407,1533932,845594
GEG,DFW,Spokane-WA,Dallas-TX,0,0,1,1476,200710,456187,12313304
MSY,TPA,New Orleans-LA,Tampa-FL,513,610,5,487,199610,1287349,2195269
SPS,DFW,Wichita Falls-TX,Dallas-TX,38,50,1,113,200112,150142,10709246
LAS,DFW,Las Vegas-NV,Dallas-TX,35746,41968,228,1055,200405,1646875,11379964
JNU,JNU,Juneau-AK,Juneau-AK,0,6,1,0,200204,30717,30717
BIL,BTM,Billings-MT,Butte-MT,808,1458,81,191,199212,126284,34211
PHX,EWR,Phoenix-AZ,Newark-NJ,562,868,7,2133,200008,3278661,18352743
ANC,TCM,Anchorage-AK,Tacoma-WA,0,0,1,1460,200704,360908,3307360
BNA,MDW,Nashville-TN,Chicago-IL,32,122,1,395,200211,1363834,18490270
LAS,RNO,Las Vegas-NV,Reno-NV,26072,34124,250,345,200803,1879093,416657
PWM,ATL,Portland-ME,Atlanta-GA,80,149,1,1027,199910,470292,3988728
IND,FNT,Indianapolis-IN,Flint-MI,0,0,17,260,200305,1600165,439544
GFK,PIA,Grand Forks-ND,Peoria-IL,0,0,1,625,200503,97298,367334
SFO,FAT,San Francisco-CA,Fresno-CA,0,50,1,158,200708,8404372,889888
SLC,CPR,Salt Lake City-UT,Casper-WY,2285,6420,60,320,199005,771473,61212
BIS,BGR,Bismarck-ND,Bangor-ME,115,149,1,1538,200409,97734,146660
EWR,ATL,Newark-NJ,Atlanta-GA,48881,57652,406,745,200008,18352743,4281905
MDW,TPA,Chicago-IL,Tampa-FL,21731,28633,209,997,200507,18724160,2638814
PBI,EWR,West Palm Beach-FL,Newark-NJ,244,312,3,1024,199804,4691519,17341505
ATL,DTW,Atlanta-GA,Detroit-MI,73,78,1,594,199006,3087755,8503650
MSP,AUS,Minneapolis-MN,Austin-TX,106,110,1,1042,200609,3167666,1528958
EVV,DTW,Evansville-IN,Detroit-MI,1185,2074,61,364,200012,342992,8914942
OMA,ATL,Omaha-NE,Atlanta-GA,1333,3210,30,821,199204,701218,3245141
BOS,BUF,Boston-MA,Buffalo-NY,38,56,1,396,200304,8916374,1154212
LEX,EWR,Lexington-KY,Newark-NJ,13,37,1,588,200808,464042,18968501
ATL,TUS,Atlanta-GA,Tucson-AZ,146,150,1,1541,200703,5267527,996593
LGA,BGR,New York-NY,Bangor-ME,487,816,24,378,200103,36980058,145589
CLT,TPA,Charlotte-NC,Tampa-FL,720,750,5,508,200710,1650974,2711222
AVP,EWR,Scranton-PA,Newark-NJ,2038,3626,98,93,200811,549321,18968501
ESC,DTW,Escanaba-MI,Detroit-MI,5,34,1,305,200008,38547,8914942
NQX,MIA,Key West-FL,Miami-FL,63,150,1,121,199905,79941,9521044
HOU,AUS,Houston-TX,Austin-TX,6961,11919,87,148,200712,5597674,1594525
MBS,FNT,Saginaw-MI,Flint-MI,37,152,8,43,199611,211369,435313
ATL,TUS,Atlanta-GA,Tucson-AZ,6907,7798,52,1541,200702,5267527,996593
DFW,AUS,Dallas-TX,Austin-TX,18689,24988,176,183,199304,8450926,931671
IAH,EKO,Houston-TX,Elko-NV,204,248,2,1370,199311,4058868,40259
EWR,DFW,Newark-NJ,Dallas-TX,0,0,1,1372,200504,18798114,11632814
BPT,DFW,Beaumont-TX,Dallas-TX,4047,6936,204,270,199506,374916,8787062
MOB,MLU,Mobile-AL,Monroe-LA,1539,4278,31,257,199405,395838,167160
BHM,DTW,Birmingham-AL,Detroit-MI,2480,3700,37,625,200403,1081705,8996622
MSP,FAR,Minneapolis-MN,Fargo-ND,0,0,0,223,199704,2795024,166645
SEA,TOL,Seattle-WA,Toledo-OH,75,130,1,1924,200503,6404776,673162
BHM,ATL,Birmingham-AL,Atlanta-GA,122,139,1,134,199705,1027178,3756986
OKC,DFW,Oklahoma City-OK,Dallas-TX,0,0,1,175,200908,1227278,12895230
ERI,BUF,Erie-PA,Buffalo-NY,56,110,1,95,199012,275795,1190154
MLU,AGS,Monroe-LA,Augusta-GA,129,142,1,588,199207,165918,463337
BNA,AUS,Nashville-TN,Austin-TX,3974,6987,51,753,200102,1343263,1324426
MKG,DTW,Muskegon-MI,Detroit-MI,1949,2958,87,161,200609,174092,8969084
PUW,SLE,Pullman-WA,Salem-OR,14,18,1,312,199312,38632,300291
PHX,TUL,Phoenix-AZ,Tulsa-OK,5412,6100,50,935,199103,2302011,772997
BGR,FOE,Bangor-ME,Topeka-KS,163,250,1,1434,200903,149419,230824
FNT,DAY,Flint-MI,Dayton-OH,1041,1944,18,213,199201,431654,856638
SEA,EWR,Seattle-WA,Newark-NJ,7569,9622,61,2401,200612,6519890,18825633
SFO,OGD,San Francisco-CA,Ogden-UT,50,50,1,607,200908,8635706,541569
MCI,EKO,Kansas City-MO,Elko-NV,243,248,2,1119,199303,1694575,40259
MKE,FNT,Milwaukee-WI,Flint-MI,922,1558,82,211,200609,1540301,437395
ABQ,ATL,Albuquerque-NM,Atlanta-GA,305,450,3,1269,200512,798722,4947012
ABQ,OMA,Albuquerque-NM,Omaha-NE,21,137,1,725,200409,780865,800459
PHL,BSM,Philadelphia-PA,Austin-TX,0,0,3,1430,199810,11020546,1104612
DAY,ADS,Dayton-OH,Dallas-TX,0,0,1,849,200705,839563,12313304
MCO,ORD,Orlando-FL,Chicago-IL,97,118,1,1005,199004,1239115,16395048
EWR,CAK,Newark-NJ,Akron-OH,5,144,1,381,199606,17190036,685074
MCO,DAY,Orlando-FL,Dayton-OH,0,0,1,808,200412,1866597,845594
FWA,MDW,Fort Wayne-IN,Chicago-IL,62,70,1,144,200708,409659,18903872
DAY,TUS,Dayton-OH,Tucson-AZ,0,0,1,1583,200308,845508,903320
SAT,DFW,San Antonio-TX,Dallas-TX,0,0,1,247,200512,1878120,11632814
SNA,ATL,Santa Ana-CA,Atlanta-GA,19017,24662,135,1919,200412,12764590,4802300
BTR,AUS,Baton Rouge-LA,Austin-TX,117,173,1,390,200508,729886,1464309
SAT,AFW,San Antonio-TX,Dallas-TX,0,0,16,247,200405,1843927,11379964
PWM,BUF,Portland-ME,Buffalo-NY,38,68,1,428,200807,516026,1124055
SNA,DAL,Santa Ana-CA,Dallas-TX,42,150,1,1216,200803,12768395,12602170
SFO,RNO,San Francisco-CA,Reno-NV,74,190,1,192,199804,7996466,315959
YIP,DAL,Detroit-MI,Dallas-TX,0,0,1,975,200705,8913164,12313304
ATL,DTW,Atlanta-GA,Detroit-MI,91,98,1,594,199207,3245141,8653794
CWA,ORD,Wausau-WI,Chicago-IL,43,64,1,213,199604,121438,17287860
DSM,PIA,Des Moines-IA,Peoria-IL,0,0,15,216,200408,511589,366024
CAE,DOV,Columbia-SC,Dover-DE,95,120,1,476,200510,691990,143294
MCO,BOS,Orlando-FL,Boston-MA,16479,19344,124,1121,200403,1866597,8912958
EVV,DTW,Evansville-IN,Detroit-MI,240,510,15,364,200202,343770,8972134
IAH,DAY,Houston-TX,Dayton-OH,0,0,2,929,200401,5190444,845594
RFD,ATL,Rockford-IL,Atlanta-GA,0,0,8,643,200610,344269,5119641
FLL,TOL,Fort Lauderdale-FL,Toledo-OH,0,0,1,1090,200808,5501752,673345
SLC,OMA,Salt Lake City-UT,Omaha-NE,0,0,0,839,200301,1016377,790535
YIP,TUP,Detroit-MI,Tupelo-MS,0,0,1,619,200304,8985512,127964
ROA,MCN,Roanoke-VA,Macon-GA,18,30,1,381,199601,276666,216815
MHT,ATL,Manchester-NH,Atlanta-GA,7606,8804,62,952,200308,393018,4673146
DCA,DFW,Washington-DC,Dallas-TX,116,124,1,1192,200806,10755872,12602170
AZO,CAK,Kalamazoo-MI,Akron-OH,62,68,1,232,199208,297642,668896
ALB,ATL,Albany-NY,Atlanta-GA,523,740,5,852,200401,843928,4802300
MSP,BUF,Minneapolis-MN,Buffalo-NY,4653,5800,58,734,200305,3078253,1154212
DAL,ORD,Dallas-TX,Chicago-IL,430,528,12,798,200807,12602170,19031272
MDW,EWR,Chicago-IL,Newark-NJ,30,104,1,711,199707,17405264,17264316
SLC,DFW,Salt Lake City-UT,Dallas-TX,89,142,1,988,200310,1016377,11164066
BTR,TYR,Baton Rouge-LA,Tyler-TX,80,88,2,281,200807,779340,201160
SJC,ORD,San Jose-CA,Chicago-IL,483,882,6,1829,199712,1668299,17405264
BDL,TOL,Hartford-CT,Toledo-OH,0,0,1,575,200407,1175284,671681
PHL,ABY,Philadelphia-PA,Albany-GA,0,0,17,763,200301,11575576,161185
PHX,YUM,Phoenix-AZ,Yuma-AZ,4127,6669,351,160,199701,2841395,129070
DTW,DLH,Detroit-MI,Duluth-MN,0,0,0,541,199901,8962394,267892
FSM,DFW,Fort Smith-AR,Dallas-TX,25,34,1,228,200805,290977,12602170
SLC,ALB,Salt Lake City-UT,Albany-NY,115,150,1,1960,200607,1072748,850541
DAY,TPA,Dayton-OH,Tampa-FL,3750,6930,63,828,199105,850946,2098618
EWR,DTW,Newark-NJ,Detroit-MI,0,0,1,487,200211,18590085,8972134
ANC,ATL,Anchorage-AK,Atlanta-GA,0,0,4,3417,200501,351851,4947012
IDA,BZN,Idaho Falls-ID,Bozeman-MT,1278,2188,29,163,200807,123123,89812
CVG,TOL,Cincinnati-OH,Toledo-OH,163,1080,27,181,200408,2083905,671681
LRD,YIP,Laredo-TX,Detroit-MI,0,0,3,1353,200511,220968,8988796
CLT,TOL,Charlotte-NC,Toledo-OH,0,0,1,466,200501,1519448,673162
PHX,EWR,Phoenix-AZ,Newark-NJ,109,257,1,2133,199411,2549507,17072218
MCO,ACT,Orlando-FL,Waco-TX,129,136,1,977,200701,2034878,228241
IAD,BUF,Washington-DC,Buffalo-NY,46,294,2,284,199012,8270942,1190154
SJC,TOL,San Jose-CA,Toledo-OH,0,0,10,2042,200509,1737313,673162
SEA,AUS,Seattle-WA,Austin-TX,171,173,1,1770,200904,6815696,1705075
EAU,MDW,Eau Claire-WI,Chicago-IL,73,199,1,284,200808,158495,19031272
MSO,BZN,Missoula-MT,Bozeman-MT,2157,7280,56,160,199204,82310,54103
ATL,MOB,Atlanta-GA,Mobile-AL,13530,20448,144,302,199904,3988728,399652
CLE,BUF,Cleveland-OH,Buffalo-NY,35,37,1,192,200307,2136026,1154212
CMI,ORD,Champaign-IL,Chicago-IL,0,100,1,135,199301,200804,16876600
BNA,ATL,Nashville-TN,Atlanta-GA,0,0,1,214,200710,1524920,5267527
BRD,BJI,Brainerd-MN,Bemidji-MN,0,1,1,86,200311,86177,41620
HOU,DAL,Houston-TX,Dallas-TX,48208,76309,557,239,199604,4268132,8994450
AVL,ATL,Asheville-NC,Atlanta-GA,5666,10890,165,164,200103,373870,4432950
IAD,TOL,Washington-DC,Toledo-OH,50,50,1,382,200806,10755872,673345
BHM,ATL,Birmingham-AL,Atlanta-GA,282,382,2,134,200405,1081705,4802300
CLE,DFW,Cleveland-OH,Dallas-TX,382,520,5,1021,199705,2126219,9231044
PFN,MCN,Panama City-FL,Macon-GA,0,50,1,209,200807,163802,230735
JAX,ORD,Jacksonville-FL,Chicago-IL,577,756,7,865,200002,1126224,18235464
TLH,DFW,Tallahassee-FL,Dallas-TX,2679,3100,62,767,200307,332429,11164066
SJC,MDW,San Jose-CA,Chicago-IL,0,175,1,1838,200308,1723138,18572324
LAS,MIA,Las Vegas-NV,Miami-FL,220,300,2,2175,200510,1708846,10886318
CAE,ABY,Columbia-SC,Albany-GA,0,0,2,244,200210,663454,160054
CWA,ORD,Wausau-WI,Chicago-IL,117,222,6,213,200809,131043,19031272
RKD,AUG,Rockland-ME,Augusta-ME,0,551,29,39,200801,40917,121151
ABQ,DFW,Albuquerque-NM,Dallas-TX,0,0,1,569,200406,780865,11379964
ORD,CAK,Chicago-IL,Akron-OH,46,66,1,344,200711,18903872,700559
MSP,TPA,Minneapolis-MN,Tampa-FL,1718,2220,15,1307,200210,3053303,2483575
STL,EWR,St. Louis-MO,Newark-NJ,49,98,1,872,199509,2634959,17130692
MCO,TUL,Orlando-FL,Tulsa-OK,1183,1550,31,1005,200601,1999994,892635
TOL,CAK,Toledo-OH,Akron-OH,7,34,1,131,199904,650257,689435
ATL,DHN,Atlanta-GA,Dothan-AL,31,50,1,171,200107,4432950,131266
ABY,ATL,Albany-GA,Atlanta-GA,3542,6210,207,146,199806,155001,3872031
GRB,CWA,Green Bay-WI,Wausau-WI,0,32,1,78,199911,270870,123584
DAL,TUL,Dallas-TX,Tulsa-OK,14264,21098,154,237,199010,8019250,762784
ROA,DTW,Roanoke-VA,Detroit-MI,727,1054,31,382,200607,294767,8969084
PHX,PIA,Phoenix-AZ,Peoria-IL,120,147,1,1326,199508,2661324,365253
GFK,EKO,Grand Forks-ND,Elko-NV,118,122,1,1041,200410,97840,44964
RDD,ACV,Redding-CA,Eureka-CA,0,0,1,101,200909,181099,129623
DFW,OMA,Dallas-TX,Omaha-NE,598,776,8,583,199312,8450926,703536
PBI,MDW,West Palm Beach-FL,Chicago-IL,1516,3300,22,1128,199412,4373451,17018756
BUF,DAL,Buffalo-NY,Dallas-TX,0,0,1,1206,200404,1148714,11379964
MEM,DFW,Memphis-TN,Dallas-TX,0,70,1,432,200612,1280666,11998822
ORD,TPA,Chicago-IL,Tampa-FL,70,108,1,1012,199408,17018756,2154044
ESF,FTW,Alexandria-LA,Dallas-TX,15,19,1,313,199212,147901,8314270
IAD,ORD,Washington-DC,Chicago-IL,551,832,8,589,200010,9642062,18235464
IAH,EKO,Houston-TX,Elko-NV,50,122,1,1370,200002,4739414,46863
FAT,RNO,Fresno-CA,Reno-NV,2336,3968,31,188,199303,717746,276956
EAR,OMA,Kearney-NE,Omaha-NE,0,0,21,167,200611,51052,820051
SFO,BZN,San Francisco-CA,Bozeman-MT,172,264,4,807,200903,8635706,90343
EVV,DTW,Evansville-IN,Detroit-MI,1694,2618,77,364,199909,336871,8962394
ANC,ATL,Anchorage-AK,Atlanta-GA,0,0,3,3417,200304,339131,4673146
CWA,BUF,Wausau-WI,Buffalo-NY,67,143,1,560,200704,129993,1125965
ABE,BUF,Allentown-PA,Buffalo-NY,0,100,1,232,199901,718662,1142121
SAT,ATL,San Antonio-TX,Atlanta-GA,37,50,1,874,200411,1843927,4802300
STL,DAY,St. Louis-MO,Dayton-OH,0,0,1,338,200301,2743862,845508
BTR,ATL,Baton Rouge-LA,Atlanta-GA,661,856,8,449,199110,632178,3163883
TPA,BUF,Tampa-FL,Buffalo-NY,40,68,1,1054,200710,2711222,1125965
MQT,DTW,Marquette-MI,Detroit-MI,2395,2788,82,364,199906,62758,8962394
PIT,EWR,Pittsburgh-PA,Newark-NJ,13,30,1,319,199808,2418452,17341505
PIT,TOL,Pittsburgh-PA,Toledo-OH,43,126,1,201,199707,2432761,651165
MHK,OFF,Manhattan-KS,Omaha-NE,0,120,1,142,200705,118416,829183
DFW,TUS,Dallas-TX,Tucson-AZ,10429,16400,118,813,199411,8613622,734155
GSO,MIA,Greensboro-NC,Miami-FL,1417,2750,25,710,199503,577452,8913928
PHX,RDM,Phoenix-AZ,Bend-OR,35,68,1,893,200710,4175595,153405
RFD,PIA,Rockford-IL,Peoria-IL,0,0,20,110,200906,353722,375865
MDW,TUS,Chicago-IL,Tucson-AZ,69,137,1,1440,200809,19031272,1009832
LGA,ORD,New York-NY,Chicago-IL,0,0,0,733,200206,37180170,18490270
IAH,RNO,Houston-TX,Reno-NV,124,124,1,1530,200703,5597674,410616
STL,BOS,St. Louis-MO,Boston-MA,19397,24851,176,1046,199906,2663420,8550938
JFK,EWR,New York-NY,Newark-NJ,0,215,1,21,200212,37180170,18590085
PBI,TPA,West Palm Beach-FL,Tampa-FL,11276,24660,180,174,200103,5120256,2442189
DTW,ORD,Detroit-MI,Chicago-IL,52,78,1,235,200202,8972134,18490270
LRD,EKO,Laredo-TX,Elko-NV,122,122,1,1304,199906,193180,47319
APN,DTW,Alpena-MI,Detroit-MI,2278,2822,83,198,200103,31126,8958464
LAN,ORD,Lansing-MI,Chicago-IL,755,1334,29,179,199201,439773,16720340
SAV,DFW,Savannah-GA,Dallas-TX,3575,4590,92,925,200305,304965,11164066
CVG,TPA,Cincinnati-OH,Tampa-FL,10322,12496,88,773,199608,1948312,2195269
JFK,DFW,New York-NY,Dallas-TX,9980,11739,91,1391,200403,37494862,11379964
PIA,DLH,Peoria-IL,Duluth-MN,0,0,4,445,200310,364769,275582
TPA,FNT,Tampa-FL,Flint-MI,523,585,5,1036,200808,2730007,428859
STL,UIN,St. Louis-MO,Quincy-IL,94,1102,58,94,200801,2818688,76782
OAK,RNO,Oakland-CA,Reno-NV,1492,4500,30,180,199907,4034370,322804
CVG,BGR,Cincinnati-OH,Bangor-ME,167,250,5,906,200501,2102422,147020
PHX,FAR,Phoenix-AZ,Fargo-ND,218,224,1,1225,200503,3884588,185854
BGM,ALB,Binghamton-NY,Albany-NY,31,37,1,117,200604,246163,850541
CHS,ORD,Charleston-SC,Chicago-IL,1632,2046,31,760,200810,647194,19031272
